iter	Passed	Remaining
435	1726	2233
436	1728	2226
437	1729	2219
438	1730	2212
439	1732	2204
440	1735	2199
441	1756	2217
442	1758	2210
443	1759	2203
444	1761	2196
445	1763	2190
446	1765	2183
447	1767	2177
448	1769	2170
449	1770	2164
450	1772	2157
451	1774	2150
452	1775	2143
453	1777	2137
454	1779	2130
455	1783	2127
456	1784	2120
457	1786	2114
458	1788	2107
459	1809	2123
460	1810	2116
461	1812	2110
462	1814	2104
463	1815	2097
464	1817	2090
465	1818	2083
466	1820	2077
467	1821	2070
468	1823	2064
469	1824	2057
470	1826	2051
471	1828	2045
472	1830	2039
473	1831	2032
474	1833	2026
475	1834	2019
476	1836	2013
477	1837	2006
478	1856	2019
479	1858	2012
480	1860	2007
481	1861	2000
482	1862	1994
483	1864	1987
484	1865	1981
485	1867	1974
486	1868	1968
487	1870	1962
488	1871	1955
489	1873	1949
490	1877	1946
491	1879	1940
492	1881	1934
493	1883	1928
494	1884	1922
495	1886	1916
496	1920	1943
497	1922	1937
498	1924	1932
499	1926	1926
500	1927	1920
501	1929	1914
502	1938	1915
503	1939	1909
504	1941	1902
505	1942	1896
506	1943	1890
507	1945	1884
508	1946	1877
509	1948	1871
510	1949	1865
511	1951	1859
512	1952	1853
513	1954	1848
514	1955	1842
515	1957	1836
516	1958	1830
517	1960	1824
518	1973	1828
519	1974	1822
520	1975	1816
521	1977	1810
522	1978	1804
523	1979	1798
524	1981	1792
525	1982	1786
526	1984	1780
527	1986	1776
528	1988	1770
529	1990	1764
530	1991	1759
531	1993	1753
532	2011	1762
533	2012	1756
534	2014	1750
535	2015	1744
536	2019	1741
537	2020	1735
538	2022	1729
539	2023	1723
540	2024	1717
541	2026	1712
542	2027	1706
543	2029	1700
544	2030	1695
545	2032	1689
546	2033	1684
547	2035	1678
548	2036	1672
549	2037	1667
550	2039	1661
551	2040	1656
552	2072	1675
553	2073	1669
554	2075	1663
555	2076	1658
556	2078	1653
557	2080	1647
558	2081	1642
559	2082	1636
560	2084	1631
561	2085	1625
562	2087	1620
563	2088	1614
564	2090	1609
565	2091	1603
566	2092	1598
567	2094	1592
568	2095	1587
569	2097	1582
570	2098	1576
571	2100	1571
572	2101	1566
573	2103	1560
574	2104	1555
575	2105	1550
576	2107	1544
577	2109	1539
578	2110	1534
579	2112	1529
580	2113	1524
581	2115	1519
582	2117	1514
583	2118	1509
584	2120	1503
585	2121	1498
586	2123	1493
587	2124	1488
588	2126	1483
589	2127	1478
590	2128	1473
591	2130	1468
592	2152	1477
593	2154	1472
594	2155	1467
595	2157	1462
596	2158	1457
597	2159	1451
598	2161	1446
599	2162	1441
600	2164	1437
601	2166	1432
602	2167	1427
603	2169	1422
604	2171	1417
605	2172	1412
606	2173	1407
607	2175	1402
608	2176	1397
609	2178	1392
610	2179	1387
611	2181	1382
612	2205	1392
613	2207	1387
